日期,合约标的代码,合约标的名称,成交量（张）,认购成交量（张）,认沽成交量（张）,认沽/认购持仓比（%）,未平仓合约总数（张）,未平仓认购合约数（张）,未平仓认沽合约数（张）
2021-04-30,159919,300ETF,303388,153586,149802,62.19,301686,186008,115678
2021-04-29,159919,300ETF,265628,149215,116413,61.96,279640,172656,106984
2021-04-28,159919,300ETF,240859,127889,112970,60.66,272795,169796,102999
2021-04-27,159919,300ETF,274196,147294,126902,66.98,383528,229685,153843
2021-04-26,159919,300ETF,381323,213276,168047,67.78,354542,211317,143225
2021-04-23,159919,300ETF,366777,197906,168871,78.34,383003,214756,168247
2021-04-22,159919,300ETF,246245,129919,116326,72.56,392374,227381,164993
2021-04-21,159919,300ETF,256921,134309,122612,73.40,387509,223479,164030
2021-04-20,159919,300ETF,248413,137818,110595,72.47,379352,219949,159403
2021-04-19,159919,300ETF,423756,226115,197641,70.50,372477,218463,154014
2021-04-16,159919,300ETF,234882,116792,118090,66.53,369642,221967,147675
2021-04-15,159919,300ETF,288529,124391,164138,65.03,360471,218424,142047
2021-04-14,159919,300ETF,204996,95699,109297,65.86,349539,210738,138801
2021-04-13,159919,300ETF,228448,100740,127708,61.30,336868,208846,128022
2021-04-12,159919,300ETF,274444,124534,149910,61.68,332070,205393,126677
2021-04-09,159919,300ETF,231732,112760,118972,65.64,315126,190245,124881
2021-04-08,159919,300ETF,203513,99416,104097,71.39,313053,182653,130400
2021-04-07,159919,300ETF,177056,92684,84372,63.34,288226,176460,111766
2021-04-06,159919,300ETF,165505,91606,73899,66.04,281710,169667,112043
2021-04-02,159919,300ETF,235173,143901,91272,71.78,272140,158424,113716
2021-04-01,159919,300ETF,185152,106757,78395,65.87,263312,158749,104563
2021-03-31,159919,300ETF,165292,82951,82341,60.65,253571,157838,95733
2021-03-30,159919,300ETF,147195,84014,63181,66.71,249647,149750,99897
2021-03-29,159919,300ETF,199121,111179,87942,61.34,244969,151834,93135
2021-03-26,159919,300ETF,229967,131259,98708,61.85,234991,145188,89803
2021-03-25,159919,300ETF,203249,111068,92181,55.16,237138,152837,84301
2021-03-24,159919,300ETF,273028,136111,136917,58.49,220071,138852,81219
2021-03-23,159919,300ETF,301896,154666,147230,60.68,445547,277285,168262
2021-03-22,159919,300ETF,297133,151208,145925,64.90,444319,269449,174870
2021-03-19,159919,300ETF,363878,182422,181456,64.62,464762,282324,182438
2021-03-18,159919,300ETF,287523,168133,119390,68.44,476198,282709,193489
2021-03-17,159919,300ETF,316179,174935,141244,67.36,488591,291945,196646
2021-03-16,159919,300ETF,268168,136189,131979,67.43,494990,295637,199353
2021-03-15,159919,300ETF,325594,163200,162394,66.27,492931,296466,196465
2021-03-12,159919,300ETF,241522,134277,107245,68.12,489620,291236,198384
2021-03-11,159919,300ETF,346952,200515,146437,66.47,490944,294910,196034
2021-03-10,159919,300ETF,343901,174505,169396,64.48,501295,304778,196517
2021-03-09,159919,300ETF,579778,275190,304588,65.72,520726,314224,206502
2021-03-08,159919,300ETF,497053,253970,243083,68.86,503089,297941,205148
2021-03-05,159919,300ETF,384171,191907,192264,72.50,507308,294089,213219
2021-03-04,159919,300ETF,386588,176211,210377,68.33,474341,281784,192557
2021-03-03,159919,300ETF,268091,142158,125933,73.29,452493,261116,191377
2021-03-02,159919,300ETF,349833,186633,163200,69.03,441434,261153,180281
2021-03-01,159919,300ETF,216640,118230,98410,71.76,418356,243575,174781
2021-02-26,159919,300ETF,375348,177346,198002,73.13,403428,233021,170407
2021-02-25,159919,300ETF,266611,141863,124748,77.23,361637,204045,157592
2021-02-24,159919,300ETF,465209,250090,215119,76.56,352176,199460,152716
2021-02-23,159919,300ETF,341390,185673,155717,86.61,429889,230362,199527
2021-02-22,159919,300ETF,433004,261097,171907,84.49,414184,224500,189684
2021-02-19,159919,300ETF,348311,196791,151520,96.15,407180,207583,199597
2021-02-18,159919,300ETF,462448,278037,184411,97.04,394651,200292,194359
2021-02-10,159919,300ETF,484332,301920,182412,105.15,364722,177785,186937
2021-02-09,159919,300ETF,378709,225752,152957,103.42,365917,179884,186033
2021-02-08,159919,300ETF,318144,183546,134598,95.63,377897,193165,184732
2021-02-05,159919,300ETF,337180,180622,156558,89.46,394113,208019,186094
2021-02-04,159919,300ETF,311544,145520,166024,90.06,399812,210362,189450
2021-02-03,159919,300ETF,245139,131930,113209,87.63,399107,212704,186403
2021-02-02,159919,300ETF,271921,150832,121089,85.17,393278,212383,180895
2021-02-01,159919,300ETF,216653,113922,102731,80.18,394147,218749,175398
2021-01-29,159919,300ETF,312234,159569,152665,77.82,383007,215388,167619
2021-01-28,159919,300ETF,324127,163224,160903,79.87,360394,200366,160028
2021-01-27,159919,300ETF,361183,197697,163486,83.66,326682,177869,148813
